	subject	mask_name	condition	score	chance_score
230	14	hp	current_age	0.421875	0.5
231	14	hp	current_category	0.6875	0.5
232	14	dlPFC	pre_age	0.578125	0.5
233	14	dlPFC	pre_category	0.640625	0.5
234	14	dlPFC	current_age	0.640625	0.5
235	14	dlPFC	current_category	0.640625	0.5
236	14	FFA/PPA	pre_age	0.515625	0.5
237	14	FFA/PPA	pre_category	0.703125	0.5
238	14	FFA/PPA	current_age	0.65625	0.5
239	14	FFA/PPA	current_category	0.859375	0.5
240	15	mofc	pre_age	0.609375	0.5
241	15	mofc	pre_category	0.5	0.5
242	15	mofc	current_age	0.515625	0.5
243	15	mofc	current_category	0.609375	0.5
244	15	lofc	pre_age	0.515625	0.5
245	15	lofc	pre_category	0.46875	0.5
246	15	lofc	current_age	0.40625	0.5
247	15	lofc	current_category	0.546875	0.5
248	15	hp	pre_age	0.34375	0.5
249	15	hp	pre_category	0.421875	0.5
250	15	hp	current_age	0.609375	0.5
251	15	hp	current_category	0.453125	0.5
252	15	dlPFC	pre_age	0.53125	0.5
253	15	dlPFC	pre_category	0.46875	0.5
254	15	dlPFC	current_age	0.59375	0.5
255	15	dlPFC	current_category	0.5625	0.5
256	15	FFA/PPA	pre_age	0.578125	0.5
257	15	FFA/PPA	pre_category	0.546875	0.5
258	15	FFA/PPA	current_age	0.515625	0.5
259	15	FFA/PPA	current_category	0.828125	0.5
260	16	mofc	pre_age	0.4375	0.5
261	16	mofc	pre_category	0.59375	0.5
262	16	mofc	current_age	0.515625	0.5
263	16	mofc	current_category	0.71875	0.5
264	16	lofc	pre_age	0.59375	0.5
265	16	lofc	pre_category	0.5625	0.5
266	16	lofc	current_age	0.515625	0.5
267	16	lofc	current_category	0.703125	0.5
268	16	hp	pre_age	0.40625	0.5
269	16	hp	pre_category	0.609375	0.5
270	16	hp	current_age	0.65625	0.5
271	16	hp	current_category	0.578125	0.5
272	16	dlPFC	pre_age	0.546875	0.5
273	16	dlPFC	pre_category	0.5625	0.5
274	16	dlPFC	current_age	0.421875	0.5
275	16	dlPFC	current_category	0.65625	0.5
276	16	FFA/PPA	pre_age	0.5	0.5
277	16	FFA/PPA	pre_category	0.703125	0.5
278	16	FFA/PPA	current_age	0.578125	0.5
279	16	FFA/PPA	current_category	0.921875	0.5
280	17	mofc	pre_age	0.703125	0.5
281	17	mofc	pre_category	0.46875	0.5
282	17	mofc	current_age	0.546875	0.5
283	17	mofc	current_category	0.625	0.5
284	17	lofc	pre_age	0.53125	0.5
285	17	lofc	pre_category	0.46875	0.5
286	17	lofc	current_age	0.4375	0.5
287	17	lofc	current_category	0.4375	0.5
288	17	hp	pre_age	0.5	0.5
289	17	hp	pre_category	0.453125	0.5
290	17	hp	current_age	0.421875	0.5
291	17	hp	current_category	0.5625	0.5
292	17	dlPFC	pre_age	0.59375	0.5
293	17	dlPFC	pre_category	0.59375	0.5
294	17	dlPFC	current_age	0.546875	0.5
295	17	dlPFC	current_category	0.640625	0.5
296	17	FFA/PPA	pre_age	0.484375	0.5
297	17	FFA/PPA	pre_category	0.65625	0.5
298	17	FFA/PPA	current_age	0.546875	0.5
299	17	FFA/PPA	current_category	0.71875	0.5
300	18	mofc	pre_age	0.515625	0.5
301	18	mofc	pre_category	0.59375	0.5
302	18	mofc	current_age	0.46875	0.5
303	18	mofc	current_category	0.515625	0.5
304	18	lofc	pre_age	0.53125	0.5
305	18	lofc	pre_category	0.609375	0.5
306	18	lofc	current_age	0.59375	0.5
307	18	lofc	current_category	0.609375	0.5
308	18	hp	pre_age	0.53125	0.5
309	18	hp	pre_category	0.578125	0.5
310	18	hp	current_age	0.5	0.5
311	18	hp	current_category	0.59375	0.5
312	18	dlPFC	pre_age	0.453125	0.5
313	18	dlPFC	pre_category	0.640625	0.5
314	18	dlPFC	current_age	0.609375	0.5
315	18	dlPFC	current_category	0.578125	0.5
316	18	FFA/PPA	pre_age	0.484375	0.5
317	18	FFA/PPA	pre_category	0.671875	0.5
318	18	FFA/PPA	current_age	0.75	0.5
319	18	FFA/PPA	current_category	0.71875	0.5
320	20	mofc	pre_age	0.6875	0.5
321	20	mofc	pre_category	0.59375	0.5
322	20	mofc	current_age	0.546875	0.5
323	20	mofc	current_category	0.65625	0.5
324	20	lofc	pre_age	0.5	0.5
325	20	lofc	pre_category	0.53125	0.5
326	20	lofc	current_age	0.546875	0.5
327	20	lofc	current_category	0.515625	0.5
