mask_name	subject	state2	correlation	error_rate
dlPFC	3	(Hy)Fy		0.0625
dlPFC	3	(Hy)Fo		0.0625
dlPFC	4	(Fo)Hy		0.0625
dlPFC	4	(Fo)Ho	0.0017929741455445123	0.0625
dlPFC	4	(Fy)Hy	0.04159385565901809	0.0
dlPFC	4	(Fy)Ho		0.0625
dlPFC	4	(Ho)Fy	0.005246724746947904	0.125
dlPFC	4	(Ho)Fo		0.125
dlPFC	4	(Hy)Fy		0.0
dlPFC	4	(Hy)Fo		0.125
dlPFC	5	(Fo)Hy		0.25
dlPFC	5	(Fo)Ho	0.016649835193569267	0.0625
dlPFC	5	(Fy)Hy		0.125
dlPFC	5	(Fy)Ho		0.0625
dlPFC	5	(Ho)Fy	0.032576178420394744	0.125
dlPFC	5	(Ho)Fo		0.0625
dlPFC	5	(Hy)Fy		0.0
dlPFC	5	(Hy)Fo		0.0625
dlPFC	7	(Fo)Hy		0.125
dlPFC	7	(Fo)Ho		0.0625
dlPFC	7	(Fy)Hy		0.0625
dlPFC	7	(Fy)Ho		0.25
dlPFC	7	(Ho)Fy		0.0625
dlPFC	7	(Ho)Fo		0.0625
dlPFC	7	(Hy)Fy		0.0625
dlPFC	7	(Hy)Fo		0.0
dlPFC	8	(Fo)Hy		0.1875
dlPFC	8	(Fo)Ho	0.012705784448768425	0.0
dlPFC	8	(Fy)Hy		0.125
dlPFC	8	(Fy)Ho		0.0
dlPFC	8	(Ho)Fy		0.125
dlPFC	8	(Ho)Fo	0.003456665600335035	0.0625
dlPFC	8	(Hy)Fy		0.0625
dlPFC	8	(Hy)Fo		0.0625
dlPFC	9	(Fo)Hy		0.0
dlPFC	9	(Fo)Ho		0.0625
dlPFC	9	(Fy)Hy		0.0625
dlPFC	9	(Fy)Ho		0.0
dlPFC	9	(Ho)Fy		0.0
dlPFC	9	(Ho)Fo		0.0625
dlPFC	9	(Hy)Fy		0.0625
dlPFC	9	(Hy)Fo		0.0625
dlPFC	10	(Fo)Hy		0.25
dlPFC	10	(Fo)Ho		0.125
dlPFC	10	(Fy)Hy		0.1875
dlPFC	10	(Fy)Ho		0.125
dlPFC	10	(Ho)Fy		0.0625
dlPFC	10	(Ho)Fo	0.03344685763958505	0.0625
dlPFC	10	(Hy)Fy		0.125
dlPFC	10	(Hy)Fo		0.1875
dlPFC	11	(Fo)Hy	0.008767715143936254	0.0
dlPFC	11	(Fo)Ho	0.017133477324735476	0.0
dlPFC	11	(Fy)Hy	0.025307385184731752	0.0625
dlPFC	11	(Fy)Ho		0.0625
dlPFC	11	(Ho)Fy		0.0
dlPFC	11	(Ho)Fo		0.0
dlPFC	11	(Hy)Fy		0.0
dlPFC	11	(Hy)Fo	0.035003297126385904	0.125
dlPFC	12	(Fo)Hy		0.0
dlPFC	12	(Fo)Ho		0.0
