subject	mask_name	aa_rdm	bb_rdm	cc_rdm	dd_rdm
20	FFA-PPA	0.016815976562499887	-0.002531386718749855	-0.004927949218749764	-0.006571835937500103
21	mofc	0.01672832031249994	0.010184941406250161	0.004204628906250285	0.004959257812499895
21	lofc	0.012159570312499902	-0.004205839843749795	0.0023644726562502324	-0.0011463671875000109
21	hp	0.015310546874999924	-0.00598597656249978	0.01069402343750026	-0.004965078124999939
21	dlPFC	0.025853828124999905	0.00829675781250018	0.009641757812500259	0.0007650781249999017
21	FFA-PPA	-0.006036289062500144	0.0050281054687501756	-0.00011908203124973496	-0.013300976562500094
22	mofc	-0.014589765625000146	0.010513710937500163	0.007339960937500348	-0.00269789062500006
22	lofc	0.0007673437499998784	0.008795703125000116	0.002180078125000342	0.005717968749999858
22	hp	-0.005053242187500084	0.010697128906250138	0.006077441406250297	-0.008821054687500107
22	dlPFC	0.004387499999999881	0.019452500000000213	0.0028862500000002827	0.004405624999999913
22	FFA-PPA	0.0008556249999999224	9.218750000164477e-06	0.003814843750000265	-0.01136625000000005
23	mofc	-0.001401562500000203	0.004252031250000232	-0.007980468749999659	0.00666968749999991
23	lofc	0.003967695312499905	0.007160097656250211	-0.007802089843749721	0.014084257812499862
23	hp	-0.008128828125000185	0.02681433593750019	-0.005268164062499657	0.0016049218749997762
23	dlPFC	0.0014213671874998383	0.015741933593750167	0.001784746093750348	0.00030980468749991497
23	FFA-PPA	-0.005762500000000212	0.010408750000000307	-0.020672499999999632	0.015153749999999827
24	mofc	0.011740156249999856	-0.0006485156249999152	-0.009581640624999742	0.005266406249999939
24	lofc	0.002486328124999878	-0.012949804687499782	-0.016874804687499727	0.012787578124999865
24	hp	0.0038249609374998855	-0.001449082031249757	-0.011169394531249766	0.0004602734374998807
24	dlPFC	0.02258746093749983	-0.018435019531249763	-0.018809707031249765	0.019100898437499847
24	FFA-PPA	0.005151601562499903	-0.003241386718749767	-0.005211074218749735	0.0008637890624999256
25	mofc	0.00973671874999988	-0.016949453124999785	-0.0124557031249997	0.017356093749999885
25	lofc	0.013650078124999906	-0.011979960937499874	-0.004365585937499753	0.008469453124999887
25	hp	-0.006387656250000127	0.004571796875000131	0.0024861718750003176	-0.005597031250000134
25	dlPFC	0.08370203125000004	-0.02141398437500009	0.008607890625000114	0.0007314062500000662
25	FFA-PPA	0.03220499999999999	-0.010724999999999825	0.0012562500000002155	0.0004887499999999545
26	mofc	0.01216765624999986	-0.005460859374999925	-0.0026352343749997884	-0.0019267187500000837
26	lofc	0.010315546874999866	0.002008867187500249	-0.009682382812499698	0.0029899218749999124
26	hp	0.005478671874999931	0.002285429687500215	-0.0009301953124996945	-0.0022657031250000736
26	dlPFC	0.009132343749999865	0.007937578125000122	-0.0034055468749997226	-0.0027970312499999983
26	FFA-PPA	0.006388359374999906	-0.001970976562499796	-0.005880976562499798	-0.0017722656250000468
27	mofc	0.02333878906250006	0.004700957031250015	0.059882519531250164	-0.016815273437500083
27	lofc	-0.010437578125000093	0.016065429687500153	0.014969179687500334	-0.013198203125000085
27	hp	-0.006890039062500096	0.006802636718750213	0.027341074218750296	-0.018533476562499984
27	dlPFC	0.008973749999999933	0.00940671875000007	0.03417921875000026	-0.019425625000000002
27	FFA-PPA	0.017386953124999938	-0.004566523437499838	0.021012851562500167	-0.015643046874999997
28	mofc	0.010199921874999875	-0.0016608203124998736	-0.000789570312499762	-0.002172578124999991
28	lofc	0.011498945312499894	0.008522441406250116	-0.001342871093749724	0.005101757812499941
28	hp	-0.0010312890625000862	0.011814667968750199	-0.005747519531249672	-0.0011459765625000673
28	dlPFC	0.022668203124999887	-0.0037537109374998698	-0.0024593359374997237	0.014876953125000009
28	FFA-PPA	-0.0025017968750001354	0.0019051953125002324	0.0008495703125002869	-0.004417421875000216
29	mofc	0.026522382812499842	-0.011495058593749698	-0.022772871093749727	0.040975195312499865
29	lofc	0.0012651562499997777	0.008325703125000243	-0.005586171874999683	0.03445640624999981
29	hp	0.009656289062499913	-0.004548105468749848	-0.008963417968749669	0.007622851562499922
29	dlPFC	0.038057421874999796	0.008976523437500328	-0.0260197265624996	0.06951992187499978
29	FFA-PPA	0.017373906249999817	-0.0023169531249998543	-0.025674453124999663	0.034838281249999825
30	mofc	0.016246835937499933	-0.0003253320312498337	0.01002060546875026	-0.0068147265625000675
30	lofc	0.018513749999999943	0.000912031250000174	0.0016682812500001948	-0.0021081249999999885
30	hp	0.0164802343749999	0.003456679687500054	0.0037791796875002275	-0.0121816406250001
30	dlPFC	0.00924839843749993	0.00806498046875019	0.007159042968750265	0.0034330859374999134
30	FFA-PPA	-0.0015660546875001236	0.00042916015625019815	0.00029572265625033706	-0.00409324218750004
